Machine Model;Brand;Part Code;Part Name (GR);Part Name (EN);Category;System;Image;Status;Replaced By;Notes
Essenza Mini;Krups;95999;Δίχτυ Κάψουλων;Capsule Grid;Capsule Container / Grid;OL;95999.jpg;Active;;
Essenza Mini;Delonghi;96052;Δίχτυ Κάψουλων;Capsule Grid;Capsule Container / Grid;OL;96052.jpg;Active;;
Essenza Mini;Krups;96001;Δίσκος Αποστράγγισης;Drip Tray;Drip Tray / Grid;OL;96001.jpg;Active;;
Essenza Mini;Delonghi;96007;Δίσκος Αποστράγγισης;Drip Tray;Drip Tray / Grid;OL;96007.jpg;Active;;
Essenza Mini;Krups;96006;Σχάρα Βάσης Στήριξης Κούπας;Cup Support Grid;Cup Support / Stand;OL;96006.jpg;Active;;
Essenza Mini;Delonghi;96011;Σχάρα Βάσης Στήριξης Κούπας;Cup Support Grid;Cup Support / Stand;OL;96011.jpg;Active;;
Essenza Mini Pantone;Krups;98272;Δίσκος Αποστράγγισης;Drip Tray;Drip Tray / Grid;OL;98272.jpg;Active;;
Essenza Mini Pantone;Krups;98273;Σχάρα Βάσης Στήριξης Κούπας;Cup Support Grid;Cup Support / Stand;OL;98273.jpg;Active;;
Essenza Mini Pantone;Krups;98270;Δίχτυ Κάψουλων;Capsule Grid;Capsule Container / Grid;OL;98270.jpg;Active;;
Essenza Mini Pantone;Krups;98271;Βάση Στήριξης Κούπας;Cup Holder Base;Cup Support / Stand;OL;98271.jpg;Active;;
Pixie Redesign;Krups/Delonghi;98248;Δοχείο Καψουλών Black C62/D62;Capsule Container (Black);Capsule Container / Grid;OL;98248.jpg;Active;;
Pixie Redesign;Krups/Delonghi;98250;Δίσκος Αποστράγγισης Black C62/D62;Drip Tray (Black);Drip Tray / Grid;OL;98250.jpg;Active;;
Pixie Redesign;Krups/Delonghi;98252;Βάση Στήριξης Κούπας Silver C62/D62;Cup Support Base (Silver);Cup Support / Stand;OL;98252.jpg;Active;;
Pixie Redesign;Krups/Delonghi;98249;Σχάρα Βάσης Κούπας Black C62/D62;Cup Support Grid (Black);Cup Support / Stand;OL;98249.jpg;Active;;
Pixie Redesign;Krups/Delonghi;98251;Δοχείο Νερού C62/D62;Water Tank;Water Tank / Lid;OL;98251.jpg;Active;;
Lattissima Pro;DeLonghi;93904;Πλήρης Καράφα Γάλακτος;Complete Milk Carafe;Milk System;OL;93904.jpg;Phased Out;;
Lattissima Pro;DeLonghi;93902;Σωληνάκι Δοχείου Γάλακτος;Milk Container Straw / Tube;Milk System;OL;93902.jpg;Active;;
Lattissima Pro;DeLonghi;93903;Σύνδεσμος Δοχείου Γάλακτος;Milk Container Connector;Milk System;OL;93903.jpg;Active;;
Lattissima Pro;DeLonghi;93901;Βρυσάκι Εξαγωγής Καυτού Νερού;Hot Water Spout;Water / Outlet / Valve System;OL;93901.jpg;Active;;
Lattissima Pro;DeLonghi;93898;Δοχείο Καψουλών;Capsule Container;Capsule Container / Grid;OL;93898.jpg;Active;;
Lattissima Pro;DeLonghi;93900;Δίσκος Αποστράγγισης;Drip Tray;Drip Tray / Grid;OL;93900.jpg;Active;;
Lattissima Pro;DeLonghi;93899;Σχάρα Δίσκου Αποστράγγισης;Drip Tray Grid;Drip Tray / Grid;OL;93899.jpg;Active;;
Lattissima Pro;DeLonghi;93897;Δοχείο Νερού;Water Tank;Water Tank / Lid;OL;93897.jpg;Phased Out;;
Inissia;Krups;93444;Δίχτυ Καψουλών;Capsule Grid;Capsule Container / Grid;OL;93444.jpg;Active;;
Inissia;Delonghi;93445;Δίχτυ Καψουλών;Capsule Grid;Capsule Container / Grid;OL;93445.jpg;Active;;
Inissia;Krups/Delonghi;93443;Δίσκος Αποστράγγισης;Drip Tray;Drip Tray / Grid;OL;93443.jpg;Active;;
Inissia;Krups;93446;Σχάρα Βάσης Στήριξης Κούπας;Cup Support Grid;Cup Support / Stand;OL;93446.jpg;Active;;
Inissia;Delonghi;93447;Σχάρα Βάσης Στήριξης Κούπας;Cup Support Grid;Cup Support / Stand;OL;93447.jpg;Active;;
Inissia;Krups/Delonghi;93448;Βάση Στήριξης Κούπας;Cup Holder Base;Cup Support / Stand;OL;93448.jpg;Active;;
Inissia;Krups/Delonghi;93449;Δοχείο Νερού;Water Tank;Water Tank / Lid;OL;93449.jpg;Active;;
Creatista Plus;Breville;95924;Δοχείο Καψουλών;Capsule Container;Capsule Container / Grid;OL;95924.jpg;Active;;
Creatista;Breville;95926;Βάση Κούπας;Cup Support Base;Cup Support / Stand;OL;95926.jpg;Active;;
Creatista;Breville;95931;Σχάρα Δίσκου Αποστράγγισης;Drip Tray Grid;Drip Tray / Grid;OL;95931.jpg;Active;;
Creatista;Breville;96134;Δίσκος Αποστράγγισης Σταγόνων;Drip Tray;Drip Tray / Grid;OL;96134.jpg;Active;;
Creatista;Breville;95930;Δοχείο Νερού;Water Tank;Water Tank / Lid;OL;95930.jpg;Active;;
Creatista;Breville;95929;Καπάκι Δοχείου Νερού;Water Tank Lid;Water Tank / Lid;OL;95929.jpg;Active;;
Creatista Pro;Breville;96739;Δίχτυ Καψουλών;Capsule Grid;Capsule Container / Grid;OL;96739.jpg;Active;;
Creatista Pro;Breville;96738;Βάση Στήριξης Κούπας;Cup Support Base;Cup Support / Stand;OL;96738.jpg;Active;;
Creatista Pro;Breville;96737;Δίσκος Αποστράγγισης;Drip Tray;Drip Tray / Grid;OL;96737.jpg;Active;;
Creatista Pro;Breville;96740;Σχάρα Δίσκου Αποστράγγισης;Drip Tray Grid;Drip Tray / Grid;OL;96740.jpg;Active;;
Creatista Pro;Breville;96734 / 96733;Δοχείο Νερού (2 κωδικοί συμβατοί);Water Tank;Water Tank / Lid;OL;96734_96733.jpg;Active;;
Creatista Pro;Breville;96732;Καπάκι Δοχείου Νερού;Water Tank Lid;Water Tank / Lid;OL;96732.jpg;Active;;
Creatista Plus / Pro;Breville;95925;Κανάτα Γάλακτος;Milk Jug;Accessory / Spare Part;OL;95925.jpg;Active;;
Creatista Plus / Pro;Breville;95928;Ακροφύσιο Ατμού;Steam Nozzle;Milk System;OL;95928.jpg;Active;;
Creatista Plus / Pro;Breville;95923;Ακίδα Καθαρισματος;Cleaning Needle / Steam Tip Pin;Accessory / Spare Part;OL;95923.jpg;Active;;
CitiZ;Delonghi;SP-54818;Βάση Στήριξης Κούπας;Cup Support Base;Cup Support / Stand;OL;SP-54818.jpg;Active;;
CitiZ;Delonghi;SP-55346;Σχάρα Κάτω Δίσκου Αποστράγγισης;Lower Drip Tray Grid;Drip Tray / Grid;OL;SP-55346.jpg;Phased Out;;
CitiZ Milk;Delonghi;SP-55342;Σχάρα Κάτω Δίσκου Αποστράγγισης;Lower Drip Tray Grid;Drip Tray / Grid;OL;SP-55342.jpg;Phased Out;;
CitiZ Milk;Krups/Delonghi;SP-55340;Δοχείο Νερού;Water Tank;Water Tank / Lid;OL;SP-55340.jpg;Phased Out;96638;
CitiZ Milk;Krups/Delonghi;SP-55206;Καπάκι Δοχείου Νερού;Water Tank Lid;Water Tank / Lid;OL;SP-55206.jpg;Active;;
CitiZ Milk;Krups/Delonghi;SP-55203;Κάτω Δίσκος Αποστράγγισης;Lower Drip Tray;Drip Tray / Grid;OL;SP-55203.jpg;Active;;
CitiZ Milk;Delonghi;96641;Δίχτυ Καψουλών & Δοχείο Σταγόνων;Capsule Grid & Drip Container;Capsule Container / Grid;OL;96641.jpg;Active;;
CitiZ Milk;Krups;96642;Δίχτυ Καψουλών & Δοχείο Σταγόνων;Capsule Grid & Drip Container;Capsule Container / Grid;OL;96642.jpg;Active;;
Citiz Facelift;Krups/Delonghi;95504;Βάση στήριξης κούπας;Cup Support Base;Cup Support / Stand;OL;95504.jpg;Active;;
Citiz Facelift;Delonghi;95561;Δίχτυ καψουλών;Capsule Grid;Capsule Container / Grid;OL;95561.jpg;Active;;
Citiz Facelift;Krups/Delonghi;95503;Δίχτυ καψουλών;Capsule Grid;Capsule Container / Grid;OL;95503.jpg;Active;;
Citiz Facelift;Delonghi;96640;Δίσκος αποστράγγισης μαζί με σχαράκι;Drip Tray + Grid;Drip Tray / Grid;OL;96640.jpg;Active;;
Citiz Facelift;Krups/Delonghi;95537;Δίσκος περισυλλογής σταγόνων;Drip Collector Disk;Drip Tray / Grid;OL;95537.jpg;Active;;
Citiz Facelift;Krups/Delonghi;96638;Δοχείο νερού;Water Tank;Water Tank / Lid;OL;96638.jpg;Active;;
Citiz Facelift;Nespresso;93269;Aeroccino Citiz Facelift;Aeroccino Citiz Facelift;Accessory / Spare Part;OL;93269.jpg;Active;;
Citiz Facelift;Krups/Delonghi;95502;Δίσκος αποστράγγισης;Drip Tray Disk;Drip Tray / Grid;OL;95502.jpg;Active;;
Citiz Milk Facelift;Krups/Delonghi;95792;Σχάρα δίσκου αποστράγγισης;Drip Tray Grid;Drip Tray / Grid;OL;95792.jpg;Active;;
Citiz Milk Facelift;Krups/Delonghi;95562;Βάση στήριξης κούπας;Cup Support Base;Cup Support / Stand;OL;95562.jpg;Active;;
Lattissima One;;96122;Δοχείο καψουλών λευκό;White Capsule Container;Capsule Container / Grid;OL;96122.jpg;Active;;
Lattissima One;;96123;Δοχείο καψουλών καφέ;Brown Capsule Container;Capsule Container / Grid;OL;96123.jpg;Active;;
Lattissima One;;96121;Βάση κούπας με σχαράκι;Cup Support with Grid;Cup Support / Stand;OL;96121.jpg;Active;;
Lattissima One;;96119;Δοχείο νερού με λευκό καπάκι;Water Tank (White Lid);Water Tank / Lid;OL;96119.jpg;Active;;
Lattissima One;;96118;Δοχείο νερού με καφέ καπάκι;Water Tank (Brown Lid);Water Tank / Lid;OL;96118.jpg;Active;;
Lattissima One;;96120;Δοχείο νερού χωρίς καπάκι;Water Tank (No Lid);Water Tank / Lid;OL;96120.jpg;Active;;
Lattissima One;;96125;Πλήρης καράφα;Complete Milk Carafe;Milk System;OL;96125.jpg;Active;;
Lattissima One;;96127;Δοχείο γάλακτος;Milk Container;Milk System;OL;96127.jpg;Active;;
Lattissima One;;96128;Βαλβίδα σύνδεσης δοχείου γάλακτος;Milk Connector Valve;Milk System;OL;96128.jpg;Active;;
Lattissima One;;96126;Σωληνάκι γάλακτος;Milk Tube;Milk System;OL;96126.jpg;Active;;
Lattissima One;;96129;Βρυσάκι αφαλάτωσης;Descaling Nozzle;Accessory / Spare Part;OL;96129.jpg;Active;;
Lattissima One;;96360;Δοχείο νερού με μαύρο καπάκι;Water Tank (Black Lid);Water Tank / Lid;OL;96360.jpg;Active;;
Lattissima One;;96359;Καράφα γάλακτος μαύρη;Milk Carafe Black;Milk System;OL;96359.jpg;Active;;
Lattissima One;;96357;Δίχτυ καψουλών μαύρο;Capsule Container Black;Capsule Container / Grid;OL;96357.jpg;Active;;
Lattissima One;;96358;Βάση κούπας με σχαράκι μαύρη;Cup Support with Grid Black;Cup Support / Stand;OL;96358.jpg;Active;;
Lattissima One EVO;;97272;Δίχτυ Καψουλών Λευκό;White Capsule Grid;Capsule Container / Grid;OL;97272.jpg;Active;;
Lattissima One EVO;;97269;Δοχείο Νερού Μαύρο;Black Water Tank;Water Tank / Lid;OL;no.png;Active;;
Lattissima One EVO;;97271;Δίχτυ Καψουλών Μαύρο;Black Capsule Grid;Capsule Container / Grid;OL;97271.jpg;Active;;
Lattissima One EVO;;97270;Δοχείο Νερού Λευκό;White Water Tank;Water Tank / Lid;OL;97270.jpg;Active;;
Lattissima One EVO;;97274;Βάση Κούπας με Σχαράκι Μαύρη;Black Drip Tray / Cup Support;Drip Tray / Grid;OL;97274.jpg;Active;;
Lattissima One EVO;;97275;Βάση Κούπας με Σχαράκι Λευκή;White Drip Tray / Cup Support;Drip Tray / Grid;OL;97275.jpg;Active;;
Lattissima One EVO;;97279;Καράφα Γάλακτος Λευκή;Milk Carafe White;Milk System;OL;97279.jpg;Active;;
Lattissima One EVO;;97278;Καράφα Γάλακτος Μαύρη;Milk Carafe Black;Milk System;OL;97278.jpg;Active;;
Lattissima One EVO;;97282;Καπάκι Καράφας Γάλακτος Μαύρο;Milk Carafe Lid Black;Milk System;OL;97282.jpg;Active;;
Lattissima One EVO;;97283;Καπάκι Καράφας Γάλακτος Λευκό;Milk Carafe Lid White;Milk System;OL;97283.jpg;Active;;
Lattissima One EVO;;97280;Δοχείο Γάλακτος;Milk Tank;Milk System;OL;97280.jpg;Active;;
Lattissima One EVO;;97277;Σωληνάκι Γάλακτος;Milk Intake Tube;Milk System;OL;no.png;Active;;
Lattissima One EVO;;97273;Βρυσάκι Αφαλάτωσης;Descaling Nozzle;Accessory / Spare Part;OL;97273.jpg;Active;;
Lattissima One EVO;;97276;Σχαράκι Βάσης Στήριξης;Metal Drip Grid;Drip Tray / Grid;OL;97276.jpg;Active;;
Lattissima One EVO;;97268;Βαλβίδα Σύνδεσης Δοχείου Γάλακτος;Milk Container Connector Valve;Milk System;OL;97268.jpg;Active;;
Lattissima Touch;;94138;Δίχτυ κάψουλων λευκό;Capsule Grid White;Capsule Container / Grid;OL;94138.jpg;Active;;
Lattissima Touch;;94145;Δίχτυ κάψουλων μαύρο;Capsule Grid Black;Capsule Container / Grid;OL;94145.jpg;Active;;
Lattissima Touch;;94146;Δίχτυ κάψουλων κόκκινο;Capsule Grid Red;Capsule Container / Grid;OL;94146.jpg;Active;;
Lattissima Touch;;94141;Δίσκος αποστράγγισης λευκός;Drip Tray White;Drip Tray / Grid;OL;94141.jpg;Active;;
Lattissima Touch;;94139;Δίσκος αποστράγγισης μαύρος;Drip Tray Black;Drip Tray / Grid;OL;94139.jpg;Active;;
Lattissima Touch;;94140;Δίσκος αποστράγγισης κόκκινος;Drip Tray Red;Drip Tray / Grid;OL;94140.jpg;Active;;
Lattissima Touch;;94144;Δοχείο Νερού;Water Tank;Water Tank / Lid;OL;94144.jpg;Active;;
Lattissima Touch;;94142;Καράφα Γάλακτος;Milk Carafe;Milk System;OL;94142.jpg;Active;;
Lattissima Touch;;94441;Δίχτυ Κάψουλων Τιτανίο;Capsule Grid Titanium;Capsule Container / Grid;OL;94441.jpg;Active;;
Lattissima Touch;;94444;Δίσκος Αποστράγγισης Τιτανίο;Drip Tray Titanium;Drip Tray / Grid;OL;94444.jpg;Active;;
Lattissima Touch;;94442;Δίχτυ Κάψουλων Ασημί;Capsule Grid Silver;Capsule Container / Grid;OL;94442.jpg;Active;;
Lattissima Touch;;94443;Δίσκος Αποστράγγισης Ασημί;Drip Tray Silver;Drip Tray / Grid;OL;94443.jpg;Active;;
Lattissima Touch Facelift;;96242;Δίχτυ Καψουλών Λευκό;Capsule Grid White;Capsule Container / Grid;OL;96242.jpg;Active;;
Lattissima Touch Facelift;;96251;Δίσκος Αποστράγγισης Λευκός;Drip Tray White;Drip Tray / Grid;OL;96251.jpg;Active;;
Lattissima Touch Facelift;;96245;Καράφα Γάλακτος Λευκή;Milk Carafe White;Milk System;OL;96245.jpg;Active;;
Lattissima Touch Facelift;;96248;Καπάκι Καράφας Λευκό;Milk Carafe Lid White;Milk System;OL;96248.jpg;Active;;
Atelier;;96924;Αναδευτήρας;Whisk;Milk System;OL;96924.jpg;Active;;
Atelier;;96923;Δίχτυ Κάψουλων;Capsule Grid;Capsule Container / Grid;OL;96923.jpg;Active;;
Atelier;;96925;Δοχείο Νερού με Καπάκι;Water Tank with Lid;Water Tank / Lid;OL;96925.jpg;Active;;
Atelier;;96922;Βάση Στήριξης Κούπας;Cup Support Base;Cup Support / Stand;OL;96922.jpg;Active;;
Gran Lattissima;;96545;Βαλβίδα Αφαλάτωσης Λευκή;Descaling Valve White;Accessory / Spare Part;OL;96545.jpg;Active;;
Gran Lattissima;;96546;Βαλβίδα Αφαλάτωσης Μαύρη;Descaling Valve Black;Accessory / Spare Part;OL;96546.jpg;Active;;
Gran Lattissima;;96541;Δίσκος Αποστράγγισης με Σχαράκι Λευκό;Drip Tray Grid White;Drip Tray / Grid;OL;96541.jpg;Active;;
Gran Lattissima;;96542;Δίσκος Αποστράγγισης με Σχαράκι Μαύρος;Drip Tray Grid Black;Drip Tray / Grid;OL;96542.jpg;Active;;
Gran Lattissima;;96549;Βάση Κούπας με Σχαράκι Λευκή;Cup Base With Grid White;Cup Support / Stand;OL;96549.jpg;Active;;
Gran Lattissima;;96550;Βάση Κούπας με Σχαράκι Μαύρη;Cup Base With Grid Black;Cup Support / Stand;OL;96550.jpg;Active;;
Gran Lattissima;;96547;Δίχτυ Κάψουλων Λευκό;Capsule Grid White;Capsule Container / Grid;OL;96547.jpg;Active;;
Gran Lattissima;;96548;Δίχτυ Κάψουλων Μαύρο;Capsule Grid Black;Capsule Container / Grid;OL;96548.jpg;Active;;
Gran Lattissima;;96540;Δοχείο Νερού;Water Tank;Water Tank / Lid;OL;96540.jpg;Active;;
Gran Lattissima;;96689;Σωληνάκι Γάλακτος;Milk Tube;Milk System;OL;96689.jpg;Active;;
Gran Lattissima;;96543;Καράφα Γάλακτος Λευκή;Milk Carafe White;Milk System;OL;96543.jpg;Active;;
Gran Lattissima;;96690;MONO Κεφαλή Καράφας Λευκή;Milk Carafe Head White;Milk System;OL;no.png;Active;;
Gran Lattissima;;96695;Βαλβίδα Σύνδεσης Δοχείου Γάλακτος;Milk Container Connection Valve;Milk System;OL;96695.jpg;Active;;
Gran Lattissima;;96544;Καράφα Γάλακτος Μαύρη;Milk Carafe Black;Milk System;OL;96544.jpg;Active;;
Gran Lattissima;;96691;MONO Κεφαλή Καράφας Μαύρη;Milk Carafe Head Black;Milk System;OL;96691.jpg;Active;;
Gran Lattissima;;96692;Δοχείο Γάλακτος;Milk Carafe Head Black;Milk System;OL;96692.jpg;Active;;
Expert;Krups;95812;Μεταλλική Βάση;Metal Base;Cup Support / Stand;OL;95812.jpg;Active;;
Expert;Krups;95820;Σχάρα Στήριξης Κούπας;Cup Support Grid;Cup Support / Stand;OL;95820.jpg;Active;;
Expert;Unbranded;95818/95819;Βάση Στήριξης Κούπας;Cup Holder Base;Cup Support / Stand;OL;95818_95819.jpg;Active;;
Expert;DeLonghi;95811;Μεταλλική Βάση;Metal Base;Cup Support / Stand;OL;95811.jpg;Active;;
Expert;DeLonghi;95821;Σχάρα Στήριξης Κούπας;Cup Support Grid;Cup Support / Stand;OL;95821.jpg;Active;;
Expert;DeLonghi;95860;Βάση Στήριξης Κούπας;Cup Holder Base;Cup Support / Stand;OL;95860.jpg;Active;;
Expert;Krups;95861;Βάση Στήριξης Κούπας;Cup Holder Base;Cup Support / Stand;OL;95861.jpg;Active;;
Expert;Krups;95815;Δίσκος Αποστράγγισης;Drip Tray;Drip Tray / Grid;OL;95815.jpg;Phased Out;;Για μηχανές με σειριακό αριθμό μικρότερο από 17234
Expert;Krups/Delonghi;95817;Δοχείο Καψουλών;Capsule Container;Capsule Container / Grid;OL;95817.jpg;Active;;Για μηχανές με σειριακό αριθμό μικρότερο από 17234
Expert;DeLonghi;95816;Δίσκος Αποστράγγισης;Drip Tray;Drip Tray / Grid;OL;95816.jpg;Active;;Για μηχανές με σειριακό αριθμό μικρότερο από 17234
Expert;Krups;96104;Δίσκος Αποστράγγισης;Drip Tray;Drip Tray / Grid;OL;96104.jpg;Active;;Για μηχανές με σειριακό αριθμό μεγαλύτερο από 17234
